Phase,Item,Low_Cost,High_Cost
Food Trailer Launch,Used food trailer/container,15000,30000
Food Trailer Launch,Kitchen equipment,8000,15000
Food Trailer Launch,Generator,1500,3000
Food Trailer Launch,Initial inventory,1000,2000
Food Trailer Launch,Permits and licenses,1000,3000
Food Trailer Launch,POS system,500,1000
Food Trailer Launch,Branding and signage,1000,2000
Food Trailer Launch,Working capital reserve,5000,10000
Land and Outdoor Dining,Security deposit,2000,10000
Land and Outdoor Dining,First-year lease payments,6000,24000
Land and Outdoor Dining,Site preparation,3000,10000
Land and Outdoor Dining,Gravel or paving,3000,8000
Land and Outdoor Dining,Outdoor seating,2000,5000
Land and Outdoor Dining,Lighting,1000,3000
Land and Outdoor Dining,Covered roof or tent,5000,15000
Food Truck Park,Utility hookups,5000,20000
Food Truck Park,Water system,2000,8000
Food Truck Park,Electrical setup,3000,15000
Food Truck Park,Vendor spaces,3000,10000
Food Truck Park,Landscaping,2000,10000
